Year,Month,Unit,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Arms Act,Explosive Act,Narcotics,Smuggling,Total Recovery Cases,Total Cases
2025,February,RPMP,0,2,0,0,0,10,0,0,0,8,26,1,0,17,0,18,64
2025,February,GMP,1,1,8,0,0,20,6,0,2,12,93,2,5,59,0,66,209
2025,February,Dhaka Range,25,25,66,8,0,229,10,7,37,111,1051,13,0,563,1,577,2146
2025,February,Mymensingh Range,1,4,19,10,0,94,3,1,6,35,372,2,0,207,38,247,792
2025,February,Chittagong Range,13,14,50,11,0,171,10,5,43,75,896,32,4,601,25,662,1950
2025,February,Sylhet Range,2,6,13,3,0,79,1,5,4,50,385,1,0,103,23,127,675
2025,February,Khulna Range,2,11,22,2,0,140,2,1,18,60,591,12,7,315,8,342,1191
2025,February,Barishal Range,6,4,16,18,0,120,5,2,14,25,435,0,0,125,0,125,770
2025,February,Rajshahi Range,11,11,30,5,0,196,5,4,8,47,602,15,12,418,6,451,1370
2025,February,Rangpur Range,4,6,23,2,0,171,8,1,4,69,644,7,2,408,8,425,1357
2025,February,Railway Range,0,4,2,0,0,0,0,0,0,10,8,0,0,15,0,15,39
2025,February,Total,74,153,300,83,10,1430,78,37,193,673,6058,101,37,3632,143,3913,13002
2025,March,DMP,3,38,33,12,15,162,19,23,43,137,699,20,2,538,10,570,1754
2025,March,CMP,0,8,8,4,0,17,8,4,8,17,185,6,1,140,2,149,437
2025,March,KMP,1,4,7,8,0,46,1,3,5,20,53,4,0,61,0,65,170
2025,March,RMP,0,5,1,3,0,14,1,3,5,20,53,4,0,61,0,65,170
2025,March,BMP,0,1,3,1,1,19,3,2,3,4,45,1,4,48,0,53,135
2025,March,SMP,0,0,4,0,0,24,0,3,3,3,43,1,0,28,0,29,110
2025,March,RPMP,0,3,0,1,0,7,0,1,2,3,1,6,73,1,1,29,25
2025,March,GMP,0,1,0,1,0,10,1,0,0,6,27,2,0,21,0,23,69
2025,March,Dhaka Range,1,5,5,2,0,41,0,1,4,13,94,2,1,74,1,78,244
2025,March,Mymensingh Range,21,42,66,4,0,375,10,22,43,144,1325,17,1,620,1,639,2691
2025,March,Chittagong Range,2,7,22,5,0,132,2,2,9,39,498,0,1,223,67,291,1009
2025,March,Sylhet Range,13,25,65,16,0,249,20,11,39,128,1185,49,4,724,28,805,2556
2025,March,Khulna Range,3,5,13,1,0,97,0,13,5,50,541,3,0,142,28,173,901
2025,March,Barishal Range,2,11,36,12,0,218,2,2,16,81,772,15,2,366,16,399,1551
2025,March,Rangpur Range,5,1,14,12,0,164,2,2,13,44,564,3,0,150,0,153,974
